title,link,summary
저녁까지 약한 빗방울…주말 대부분 비 소식[날씨],https://n.news.naver.com/mnews/article/055/0001270079,오늘(26일) 서울은 종일 흐린 하늘이 이어지면서 기온이 크게 오르지 않았습니다. 낮 최고 기온이 23.8도로 활동하기 비교적 수월했는데요. 내일부터는 차츰 기온이 다시 오르겠습니다. 평년 이맘때와 비슷한 더위를 보
5일째 1위 '케이팝 데몬 헌터스' 흥행 돌풍,https://n.news.naver.com/mnews/article/422/0000753613,케이팝 아이돌을 주인공으로 내세운 넷플릭스 미국 애니메이션 영화 '케이팝 데몬 헌터스'가 5일 연속 글로벌 영화 순위 정상을 차지했습니다. '케이팝 데몬 헌터스'는 케이팝 아이돌 '헌트릭스'가 악령을 쫓아내며 영웅으
구름 많고 무더위..낮 최고 27~32도,https://n.news.naver.com/mnews/article/660/0000087957,"광주와 전남은 내일(27일) 구름이 많겠고 낮 기온이 30도 이상 올라 무더운 날씨를 보이겠습니다. 아침 최저기온은 나주 19도, 광주와 여수 21도 등 18~21도 분포로 예보됐습니다. 낮 최고기온은 목포 28도,"
"""심하면 48시간 이내 사망""…덥다고 바닷물에 발 담갔다가 '큰일 날 수도'",https://n.news.naver.com/mnews/article/277/0005613893,기온과 습도가 오르는 장마철은 각종 세균과 바이러스 질환이 유행하는 시기다. 이 시기 급증하는 비브리오 패혈증은 심할 경우 생명을 위협할 수 있어 각별한 주의가 필요하다. 고려대 안암병원이 26일 내놓은 비브리오 패
"만트럭버스코리아, 국내 서비스 네트워크 확장… ‘만 코어 360’ 전략 제시",https://n.news.naver.com/mnews/article/022/0004046714,독일 프리미엄 상용차 브랜드 만트럭버스그룹이 국내 서비스 네트워크를 23곳으로 확장하고 차량 정비 예약 기능이 있는 서비스 앱(애플리케이션)을 운영한다. 만트럭버스코리아는 26일 서울 용산구 그랜드 하얏트 서울에서
"서울시국악관현악단, 창단 60주년 맞아 상주 작곡가 선임",https://n.news.naver.com/mnews/article/015/0005149944,"서울시국악관현악단이 창단 60주년을 맞아 이 악단 최초로 상주 작곡가를 두기로 했다. 김현섭, 이고은, 이하느리 등 신진 작곡가를 앞세워 현대 국악의 레퍼토리를 늘리기로 했다. 서울시국악관현악단은 “김현섭, 이고운,"
"18세 김세현 ""수천명 놀라게 하기보다 1명 변화시키는 연주 하고파""(종합)",https://n.news.naver.com/mnews/article/421/0008335633,"정수영 기자 ""저는 1000명, 2000명의 관객을 놀라게 하는 연주보다 한두 사람의 마음을 변화시키는 연주가 더 의미 있다고 생각합니다. 누군가의 감탄을 끌어내기 위한 연주보다는, 한 사람 한 사람에게 제 이야기를"
