title,link,summary
"삼성SDS, 9월부터 AI 에이전트 쏟아낸다… '쓴 만큼 내는 요금제' 도입",https://n.news.naver.com/mnews/article/018/0006049452,26일 서울 송파구 삼성SDS 잠실캠퍼스에서 열린 미디어데이에서 이준희 대표이사 사장이 사업 전략을 발표하고 있다.(사진=삼성SDS) 삼성SDS(삼성에스디에스(018260))가 기업용 인공지능(AI) 시장에서 주도권
"""AI가 보이스피싱 잡는다""…LG유플러스, 첫 기술 상용화 外[비즈&]",https://n.news.naver.com/mnews/article/422/0000753542,"경제계 소식을 알아보는 비즈&(앤) 시간입니다. 오늘(26일)은 어떤 소식이 있는지 살펴보겠습니다. ▶""AI가 보이스피싱 잡는다""…LG유플러스, 첫 기술 상용화 보이스피싱 범죄가 지능화되는 요즘, 위조된 목소리를 A"
"PP업계 30년…“낡은 유료방송 규제, OTT와 동일 수준 조정 시급”",https://n.news.naver.com/mnews/article/138/0002199454,"한국방송채널진흥협회, 한국방송채널사용사업자협회가 ‘방송채널사용사업자(PP) 방송 30주년 기념식(이하 ‘기념식’)’ 행사를 목동 방송회관 코바코홀에서 26일 오후 2시에 개최했다고 밝혔다. 지난 1995년 케이블TV"
"과기정통부, ‘1천큐비트 양자컴’ 등 8년간 6,454억 투자",https://n.news.naver.com/mnews/article/056/0011977375,"정부가 1,000 큐비트(qubit·양자비트)급 양자컴퓨터 개발 등 양자기술 분야에 8년 동안 6,454억 원을 투자합니다. 과학기술정보통신부는 오늘(26일) ‘2025년 제5회 국가연구개발사업평가 총괄위원회’를 열"
"SOOP, 아낌없는 지원에 스트리머들 '쑥쑥'",https://n.news.naver.com/mnews/article/648/0000037352,"라이브 스트리밍 플랫폼 SOOP이 스트리머들을 대상으로 다양한 지원정책을 펴고 있다. 대형 프로젝트 제작과 해외 진출, 수익 창출을 지원해 콘텐츠 생태계를 더욱 풍성하게 만들겠다는 전략의 일환이다. SOOP은 지난"
"유상임 장관 “SKT 민관합동조사단 결과, 30일 발표 목표… 위약금 문제 검토 중”",https://n.news.naver.com/mnews/article/366/0001088084,유상임 과학기술정보통신부 장관은 26일 SK텔레콤 해킹 사태를 조사 중인 민관합동조사단이 이달 안에 조사 결과를 발표하는 것이 목표라고 밝혔다. 유 장관은 이날 국회 과학기술정보방송통신위원회 전체회의에서 관련 질문에
"KISDI 40주년 콘퍼런스…'AI 시대, 바람직한 규범에 관한 고찰'",https://n.news.naver.com/mnews/article/421/0008335689,"정보통신정책연구원(KISDI)은 창립 40주년을 맞아 26일 서울 웨스틴조선호텔에서 'KISDI 40주년 콘퍼런스'를 열었다. 행사는 '인공지능(AI) 시대, 바람직한 규범에 관한 고찰'이라는 주제로 정보통신기술(I"
"""AI로 무장한 해커, 회원수 100만 비트코인 커뮤니티 호시탐탐""",https://n.news.naver.com/mnews/article/001/0015472983,S2W 주최 기술 콘퍼런스 'SIS 2025'서 한국인터넷진흥원 분석 사례 발표 빅데이터 분석 인공지능(AI) 기업 S2W는 26일 조선팰리스 서울 강남에서 연례 기술 콘퍼런스 'SIS 2025'를 열어 기술과 데이
