title,link,summary
"""최저임금으로 노동자 생계 유지 안돼"" vs ""영세 소상공인 한계""",https://n.news.naver.com/mnews/article/001/0015472923,"최저임금위 7차 전원회의서 내년 최저임금 액수 논의 본격화 노동계 1만1천500원, 경영계 1만30원에서 수정안 제시 예정 내년도 최저임금 액수를 둘러싼 노동계와 경영계의 줄다리기가 본격적으로 시작됐다. 최저임금위원"
현대위아 정재욱 대표 사임…후임은 남양연구소 인사 유력,https://n.news.naver.com/mnews/article/001/0015473019,4년4개월간 현대위아 이끌어…전기차 열관리·방산으로 사업분야 넓혀 세대교체·실적부진이 이유인 듯 현대차그룹의 부품 계열사인 현대위아를 4년 4개월간 이끌었던 정재욱 대표이사 사장이 사임했다. 후임으로는 남양연구소 등
"""지자체 절반 소멸"" 한국도 日 따라가나…해답은 '지방'에 있다",https://n.news.naver.com/mnews/article/079/0004038555,편집자 주 '수도권 집중률 1위 국가' 대한민국이 쪼그라들고 있다. 지방은 텅 빈 상황에 살 만한 공간마저 줄어들며 경쟁도 치열해졌다. 2000년대 이후 국토균형발전 약속을 수차례 반복해 온 정부는 '지방시대'를 선
"정부, 내달 초 주택시장 안정화 대책 내놓는다…대출 규제 대폭 강화?",https://n.news.naver.com/mnews/article/586/0000106122,서울 내 투기과열지구·조정대상지역 확대 지정 15억 초과 대출 금지 등 대출 정책도 부활할 듯 서울 아파트값 상승세 격화로 정부가 내달 초 주택시장 안정화 대책을 발표한다. 다음달 스트레스 DSR(총부채원리금상환비율
"HD현대 조선 3사, 폭염 때 휴식 시간 확대",https://n.news.naver.com/mnews/article/056/0011977871,"HD현대가 조선 계열사 근로자들의 온열 질환 예방을 위해 현장 휴식 시간을 늘립니다. 이에 따라 HD현대중공업, HD현대미포, HD현대삼호 등은 다음 달부터 9월까지 체감온도가 33도 이상일 때 오전 10시와 오후"
서학개미 작년 美투자 `역대 최대`…中투자는 `시들`,https://n.news.naver.com/mnews/article/029/0002964107,"한은, 2024년 지역별·통화별 국제투자대조표(잠정) 지난해 '서학개미'들의 미국 주식 투자가 역대 최대로 증가했다. 자동차, 2차전지를 중심으로 미국 내 해외공장 투자가 지속된 것이 영향을 미쳤다. 반면 중국에 대"
"외국인, 이달 SK하이닉스·삼성전자 많이 샀다… 한미 ‘반도체 랠리’",https://n.news.naver.com/mnews/article/081/0003552512,장중 ‘29만닉스’… 이틀째 ‘6만전자’ 이달 들어서만 각각 40%·9% 올라 美도 상승… 엔비디아 전고점 근접 증권가선 “반도체 선전 이어질 것” 지난해 상반기 글로벌 증시를 뜨겁게 달궜던 ‘반도체 열풍’이 다시
2030에 더 가혹했던 전세사기,https://n.news.naver.com/mnews/article/009/0005515465,"피해 3만명 중 75%가 2030 ""하반기에 피해자 구제 강화"" 국내 전세사기 피해를 본 3만여 명 가운데 대다수는 보증금 3억원 이하 수도권 전세에 사는 20·30대 청년들인 것으로 나타났다. 26일 국토교통부는"
“문재인 정부 시절 보는것 같네”…역대급 상승률 보이는 마포·성동 집값,https://n.news.naver.com/mnews/article/009/0005515241,"부동산원, 주간 아파트값 동향 마포·성동 한주만에 약 1% 상승 서울 아파트값 급등세가 계속되고 있다. 올해 최대 상승률 기록이 이번주 또다시 경신됐다. 역대급 ‘불장’으로 꼽히는 7년 전 문재인 정부 시절의 상승세"
"“초개인화로 차별화”…신세계百, 시코르 확장 시동",https://n.news.naver.com/mnews/article/081/0003552759,신세계백화점이 뷰티 편집숍 ‘시코르’(CHICOR)의 플래그십 매장인 강남역점을 열고 사업 확장에 나선다. 26일 신세계백화점에 따르면 플래그십 스코어인 시코르 강남역점이 27일 문을 연다. 지하철 2호선 강남역 1
