title,link,summary
"젠슨 황 “AI다음은 로봇, 기회 많아”...엔비디아 역대 최고가로 시총 1위 탈환",https://n.news.naver.com/mnews/article/023/0003913364,엔비디아가 역대 최고가를 갈아치우며 시총 1위를 탈환했다. 25일(현지 시각) 뉴욕증권거래소에서 엔비디아는 전날보다 4.33% 오른 154.31달러에 거래를 마쳤다. 엔비디아 주가가 종가 기준으로 150달러를 넘어선
트럼프 “이란과 핵 협상 불필요…모두 파괴했다”,https://n.news.naver.com/mnews/article/014/0005368371,도널드 트럼프 미국 대통령이 25일(현지시간) 이란과 핵 협상은 사실 꼭 필요한 것은 아니라고 말했다. 미국이 21일 폭격으로 이란 핵 시설을 모두 파괴했다고 주장하면서 이같이 말했다. 그럼에도 불구하고 트럼프 대통
미국 '2주 이상 실업수당 청구' 3년여 만에 최대,https://n.news.naver.com/mnews/article/052/0002211330,"미국에서 2주 이상 실업수당을 신청한 '계속 실업수당' 청구 건수가 6월 8~14일 주간 197만 4천 건으로, 직전 주보다 3만 7천 건 늘었습니다. 미국 노동부는 현지 시간 26일 이같이 발표하며, 지난 2021"
"美합참 ""이란 미사일 요격 때 韓파견 패트리엇 부대 배치""",https://n.news.naver.com/mnews/article/025/0003451076,피트 헤그세스 미국 국방부 장관은 26일(현지시간) 미국의 이란 핵 시설 공습으로 이란 핵 시설이 파괴됐다며 “이란 핵 프로그램의 수년간 지연을 초래했다. 역사적으로 성공적인 공습”이었다고 평가했다. 헤그세스 장관은
"하메네이 ""항복 요구는 헛소리""...이스라엘 ""이란 위협 무력화""",https://n.news.naver.com/mnews/article/052/0002211380,이스라엘과 이란의 '12일 전쟁'이 봉합된 지 하루 만에 이란 최고지도자가 승리를 주장하면서 사실상 미국에 항복하지 않겠다는 뜻을 내비쳤습니다. 반면 이스라엘은 미국과 함께 이란의 위협을 상당히 무력화했다며 앞으로
"트럼프, 젤렌스키와 회담…""우크라에 패트리엇 지원 검토""",https://n.news.naver.com/mnews/article/277/0005613305,도널드 트럼프 미국 대통령은 우크라이나에 패트리엇 지대공 미사일 시스템 추가 지원을 검토할 것이라고 25일(현지시간) 밝혔다. 종전 협상에 미온적인 블라디미르 푸틴 러시아 대통령을 압박하려는 의도로 해석된다. 트럼프
"미국, 주택대출 심사 때 대출자 자산에 가상화폐도 인정",https://n.news.naver.com/mnews/article/448/0000537907,미국 양대 국책 부동산담보 대출기관인 패니메이와 프레디맥을 규제하는 연방주택금융청(FHFA)이 두 기관에 '단독주택 담보대출'(Single Family Mortgage Loan) 위험을 평가할 때 대출자가 보유한 가
"트럼프 차기 연준 의장 조기 지명, 파월에 레임덕 안길 듯",https://n.news.naver.com/mnews/article/421/0008334802,"도널드 트럼프 미국 대통령이 차기 연준 의장을 조기 지명하는 방법으로 현 의장인 제롬 파월의 힘을 빼는 방법을 추진하고 있다고 월스트리트저널(WSJ)이 25일(현지시간) 보도했다. 파월 의장을 경질할 경우, 미국 경"
美 금융위기때 강화했던 은행 규제 다시 완화,https://n.news.naver.com/mnews/article/374/0000448069,미국 연방준비제도(Fed·연준)가 2008년 글로벌 금융위기 이후 대폭 강화했던 대형 은행의 자본건전성 규제를 다시 완화하기로 했습니다. 도널드 트럼프 미국 행정부는 대형 은행들이 규제 완화로 생긴 여윳돈으로 미국
