title,link,summary
KB국민은행 조직개편…포용금융부·골든라이프부 신설,https://n.news.naver.com/mnews/article/421/0008345964,KB국민은행은 기존 28본부 117부에서 27본부 118부로 조직개편을 실시했다고 2일 밝혔다. 올해 경영목표인 △포용금융 추진 △시니어 특화 서비스 △고객 Biz별 맞춤형 상품·서비스 제공 △내부통제 체계 고도화
김혜경 여사 첫 단독 행보…이부진 사장 등 여성기업인 만나 당부한 말,https://n.news.naver.com/mnews/article/011/0004503897,"김혜경 여사가 국내에서 공식 첫 단독 행보에 나섰다. 이 대통령 취임 28일 만에 첫 공식 석상으로, 여성 기업인 500여명이 참여하는 ‘제4회 여성기업주간 개막식’에서 여성 기업인들과 소통하는 자리를 가졌다. 김"
"정부 ""배추·사과·배 정부 물량 확대...쇠고기 최대 50% 할인""",https://n.news.naver.com/mnews/article/052/0002213557,"지난달 소비자물가 상승률이 두 달 만에 2%대로 올라선 가운데 정부가 배추와 사과, 배 등 주요 농산물의 가용물량을 대폭 확대합니다. 이형일 기획재정부 장관 직무대행 1차관은 오늘 정부서울청사에서 물가관계차관회의를"
"""위기의 석화업계 수익성 한계""…국회서 NCC 통폐합 논의",https://n.news.naver.com/mnews/article/277/0005616530,나프타분해시설(NCC) 설비 통폐합을 골자로 한 석유화학 산업 재편 논의가 탄력을 받을 전망이다. 2027년 에쓰오일(S-Oil) 샤힌 프로젝트가 본격 가동될 경우 에틸렌·프로필렌 등 기초유분이 시장에 쏟아지며 업계
"이동채 에코프로 창업주 ""3600명 임직원 힘 합쳐 돌파구 찾자""",https://n.news.naver.com/mnews/article/277/0005616375,"우리 앞에 놓인 난관을 헤쳐 나가는 건 누구도 대신해주지 않으며 3600명 우리 임직원이 힘을 합쳐 돌파구를 찾아야 합니다"" 이동채 에코프로 창업주는 충북 청주 오창 본사에서 열린 3분기 조회에서 ""임직원들이 혁신"
"중소기업 하반기 '긍정' 전망 2배로…""내수 회복은 내년 이후""",https://n.news.naver.com/mnews/article/422/0000755420,올해 하반기 경기와 영업 여건이 전반적으로 나아질 것이라고 전망한 중소기업들이 상반기보다 늘었습니다. 중소기업중앙회는 지난 16일에서 20일까지 중소기업 500개 사를 대상으로 실시한 경기전망 조사에서 올해 하반기
"무협 ""상호관세 현실화되면 美 수입시장 경합 구도 판 바뀐다""",https://n.news.naver.com/mnews/article/031/0000945284,"오는 9일 미국의 상호관세 유예가 종료될 경우, 미국 수입시장의 축소와 함께 국가간 경쟁구도가 재편될 수 있다는 분석이 나왔다. 한국무역협회(KITA) 국제무역통상연구원이 2일 발표한 '트럼프 1기 이후 미국 수입시"
"밸류업 공시 2년 차, 156개 사 참여…주주 환원도 증가세",https://n.news.naver.com/mnews/article/055/0001271647,▲ 한국거래소 밸류업 공시 시행 이후 지난달까지 156개 사가 기업 가치 제고 계획을 공시한 가운데 이들 종목의 주가 수익률이 코스피 수익률을 대폭 웃돈 것으로 나타났습니다. 상반기 자사주 소각액도 지난해 연간 기록
"CJ대한통운, 글로벌사업 대표에 조나단 송…""글로벌 확장 가속""",https://n.news.naver.com/mnews/article/025/0003452369,CJ대한통운이 글로벌 사업 부문 대표에 조나단 송(56) 익스피다이터스 인터내셔널 글로벌 영업·마케팅 총괄 부사장을 선임했다고 2일 밝혔다. 송 신임 대표는 북미 최대 국제운송 전문기업 익스피다이터스에서 전 세계 6
6월 물가 2.2% 올라…커피 등 '먹거리 물가' 빨간불,https://n.news.naver.com/mnews/article/055/0001271535,지난달 소비자물가 지수가 2.2% 상승하며 두 달 만에 다시 2%대로 올라섰습니다. 지난 1월 이후 5개월 만에 가장 높은 상승폭입니다. 가공식품 물가 상승률이 19개월 만의 최고치인 4.6%를 기록하면서 전체 소비
