title,link,summary
"오픈AI, 챗GPT 장애 보상 돌입…韓 이용자 월 구독료 6.5% 환불",https://n.news.naver.com/mnews/article/138/0002199851,오픈AI가 지난달 16시간가량 발생한 '챗GPT' 서비스 장애 관련해 한국 유료 구독자를 대상으로 보상에 나섰다. 멤버십 등급과 관계없이 월 구독료의 약 6.5%가 순차 환불될 방침이다. 2일 정보기술(IT) 업계에
"메가존클라우드, 이스라엘 양자기술 기업 '클래시큐'와 맞손",https://n.news.naver.com/mnews/article/018/0006054445,메가존클라우드가 이스라엘 양자 소프트웨어 기업 ‘클래시큐’(Classiq)와 양자기술 상용화를 위해 힘을 합친다. 김동호 메가존클라우드 부사장(왼쪽)과 니르 미너비 클래시큐 최고경영자(CEO)가 양자컴퓨팅 기술 협력
새롭게 업그레이드한 부산시티투어… 카카오 ‘춘식이’ 버스 대공개,https://n.news.naver.com/mnews/article/009/0005518074,부산관광공사가 카카오 캐릭터 ‘춘식이’를 활용한 부산시티투어 특별 차량 ‘춘식투어’를 새롭게 선보인다. 오는 10일부터 운영하는 춘식투어를 위해 부산관광공사와 카카오는 지난 6월 30일 업무협약(MOU)을 체결했다.
유기성폐기물로 ‘그린 바이오수소 생산’…김상현 교수 ‘8월 과기인상’ 수상,https://n.news.naver.com/mnews/article/029/0002965521,"과학기술정보통신부와 한국연구재단은 이달의 과학기술인상 ‘7월 수상자’로 김상현 연세대 건설환경공학과 교수를 선정했다고 2밝혔다. 김 교수는 동식물에서 유래한 유기성 폐자원을 수소, 메탄과 같은 유용한 자원으로 전환하"
"""전략기술 선도 위해 첨단 연구장비 국산화 추진""",https://n.news.naver.com/mnews/article/421/0008346009,정부와 민간 전문가들이 미래 전략기술 분야를 선도하기 위해 첨단 연구장비의 국산화를 추진한다. 과학기술정보통신부 2일 서울 중구 웨스틴 조선 호텔에서 '첨단혁신장비 얼라이언스' 출범식을 개최했다. 권오경 한양대 석좌
"韓 확산 더딘 구글 AI…""성장 여지 충분"" 자신감",https://n.news.naver.com/mnews/article/138/0002199843,"인공지능(AI) 기반 리서치 어시스턴트인 '노트북 LM'은 아직 매우 초기 단계이며, 사용자에게 가치를 제공할 새로운 제품을 발견할 수 있는 여지가 많다."" 2일 사이먼 토쿠미네 구글 랩스 디렉터는 서울시 강남구에"
"KT스카이라이프, 강릉시체육회·교육지원청과 AI 스포츠 중계 업무협약",https://n.news.naver.com/mnews/article/119/0002974702,"KT스카이라이프는 2일 강릉시체육회, 강릉교육지원청과 'AI 스포츠 중계' 관련 업무협약(MOU)을 체결했다고 밝혔다. 강릉시체육회 대회의실에서 진행된 업무협약식에는 KT스카이라이프 이석호 수도권고객본부장과 권영만"
