title,link,summary
"볼보코리아, 볼보 DNA 집약된 신형 XC90·S90 국내 판매 시작",https://n.news.naver.com/mnews/article/011/0004504043,볼보자동차코리아가 신형 XC90과 S90을 2일 국내 최초로 공개하고 시장 공략에 나섰다. 7인승 SUV인 XC90과 5인승 E-세그먼트 세단 S90은 볼보의 최상위 라인업 차량이다. 이번 국내에 출시된 신형 X90
"BYD코리아, 창원 전시장·부산 서비스센터 열어",https://n.news.naver.com/mnews/article/277/0005616344,비야디(BYD)코리아가 창원 전시장과 부산 사상 서비스센터를 열고 부산·경남 지역의 소비자 접점을 확대한다고 2일 밝혔다. 지난달 28일 문을 연 창원 전시장은 경남도 첫번째 전시장이다. 창원 수입차 거리 중심에 위
7월 첫날부터 강릉 30.3도 '초열대야'…이렇게 더운 밤은 없었다,https://n.news.naver.com/mnews/article/025/0003452296,"강원 강릉에서 7월 첫날 밤부터 30도 아래로 기온이 내려가지 않는 등 올해 첫 ‘초열대야’ 현상이 나타났다. 2일 낮에는 전국적으로 최고 37도에 이르는 폭염이 기승을 부릴 전망이다. 기상청에 따르면, 강릉의 밤"
'오징어게임3' 호불호 속 글로벌 정상...해피엔딩이 바뀐 이유는?,https://n.news.naver.com/mnews/article/052/0002213426,"※이 기사는 오징어게임 시즌3 결말 내용을 담고 있습니다.※ 오징어게임 시즌3가 공개 이후 글로벌 1위 자리를 지키고 있습니다. 원래 '해피 엔딩'이었던 결말이 지금처럼 바뀐 이유는 뭔지, 김승환 기자가 황동혁 감독"
상반기 국립중앙박물관 관람객 270만 9천 명…2005년 이후 최다,https://n.news.naver.com/mnews/article/055/0001271668,▲ 국립중앙박물관 올해 상반기에 국립중앙박물관을 찾은 관람객이 270만 명을 넘어선 것으로 집계됐습니다. 국립중앙박물관은 올들어 지난달까지 관람객 수가 270만 8천892명을 기록했다고 밝혔습니다. 지난해 같은 기간
“레퍼토리 아우르는 ‘스냅샷’ 같은 공연”…英 로열 발레단 20년만에 내한,https://n.news.naver.com/mnews/article/021/0002719817,영국 로열 발레 ‘지젤’. LG아트센터 제공 “20년 전 한국에서 공연을 했을 때도 함께했던 기억이 납니다. 이번 무대가 제게 특별한 이유는 둘째를 낳고 처음으로 돌아온 복귀작이기 때문이에요. 두 아이들과 이곳 서울
"“아침에 과일 주스, 술만큼 위험하다”…의사가 추천한 아침 식단은",https://n.news.naver.com/mnews/article/081/0003554354,아침에 과일을 갈아 마시는 습관이 건강에 해가 될 수 있다는 전문가의 조언이 나왔다. 유튜브 채널 ‘닥터프렌즈’를 운영하는 우창윤 서울아산병원 내분비내과 전문의는 최근 유튜브 채널 ‘장동선의 궁금한 뇌’에 출연해 “
